Question ID,Category,Sub-Category,Question,Response Type,Response Options,Customer Response,Priority,Source,Notes
DOC-001,Document Requirements,Types,What specific document types need automated processing?,Text,,"",High,Document Analysis,Detailed document classification
DOC-002,Document Requirements,Structure,Are your documents structured semi-structured or unstructured?,Multiple Choice,"Structured forms,Semi-structured invoices,Unstructured letters,Mixed types","",High,Document Analysis,Document structure analysis
DOC-003,Document Requirements,Quality,What is the typical quality of your source documents?,Multiple Choice,"High quality digital,Good quality scanned,Poor quality scanned,Handwritten,Mixed quality","",High,Document Analysis,OCR accuracy expectations
DOC-004,Document Requirements,Languages,What languages appear in your documents?,Text,,"",Medium,Document Analysis,Multi-language processing needs
DOC-005,Document Requirements,Variations,How much variation exists within each document type?,Multiple Choice,"Highly standardized,Some variation,Significant variation,Completely variable","",High,Document Analysis,Model training complexity
DOC-006,Document Requirements,Sources,Where do documents originate? (email upload fax etc),Text,,"",High,Document Analysis,Input channel requirements
TECH-001,Technical Requirements,AWS Environment,What AWS services are you currently using?,Multiple Choice,"S3,Lambda,API Gateway,Textract,Comprehend,SageMaker,None,Other","",High,Technical Assessment,Current AWS footprint
TECH-002,Technical Requirements,AWS Environment,What AWS region(s) do you prefer for data processing?,Text,,"",High,Technical Assessment,Data residency requirements
TECH-003,Technical Requirements,Integration,What systems need to integrate with the IDP solution?,Text,,"",High,Technical Assessment,Integration requirements
TECH-004,Technical Requirements,Integration,What document storage systems do you currently use?,Multiple Choice,"AWS S3,SharePoint,Google Drive,Box,On-premises file servers,Email systems,Other","",High,Technical Assessment,Storage integration needs
TECH-005,Technical Requirements,API Requirements,Do you need real-time or batch document processing?,Multiple Choice,"Real-time processing,Batch processing,Both options","",High,Technical Assessment,Processing mode requirements
TECH-006,Technical Requirements,API Requirements,What API integration capabilities do you need?,Multiple Choice,"REST APIs,Webhooks,File upload endpoints,Email integration,FTP integration,Other","",Medium,Technical Assessment,API integration needs
TECH-007,Technical Requirements,Performance,What are your document processing speed requirements?,Text,,"",Medium,Technical Assessment,Performance expectations
TECH-008,Technical Requirements,Performance,What accuracy level do you require for data extraction?,Multiple Choice,"95%+,98%+,99%+,99.5%+","",High,Technical Assessment,Accuracy requirements
TECH-009,Technical Requirements,Security,What security requirements apply to document processing?,Multiple Choice,"Encryption at rest,Encryption in transit,Access controls,Audit logging,Data masking,Other","",High,Security Assessment,Security controls needed
TECH-010,Technical Requirements,Security,What compliance standards must the IDP solution meet?,Multiple Choice,"SOC 2,ISO 27001,HIPAA,PCI DSS,GDPR,FedRAMP,Other,None","",High,Security Assessment,Compliance requirements
TECH-011,Technical Requirements,Data,What sensitive data types are present in your documents?,Multiple Choice,"PII,PHI,Financial data,Credit card numbers,SSNs,Other sensitive data,No sensitive data","",High,Data Assessment,Data protection requirements
TECH-012,Technical Requirements,Data,What are your data retention and deletion requirements?,Text,,"",Medium,Data Assessment,Data lifecycle management
TECH-013,Technical Requirements,Availability,What uptime requirements do you have for document processing?,Multiple Choice,"99%,99.5%,99.9%,99.95%,99.99%","",Medium,Technical Assessment,SLA requirements
AI-001,AI/ML Requirements,Model Needs,Do you need custom ML models or will AWS pre-built services suffice?,Multiple Choice,"AWS Textract only,AWS Comprehend only,Custom classification models,Custom extraction models,Combination approach","",High,AI Assessment,Model complexity requirements
AI-002,AI/ML Requirements,Training Data,Do you have labeled training data for custom models?,Multiple Choice,"Yes - substantial dataset,Yes - limited dataset,No - need data labeling,Unsure","",Medium,AI Assessment,Training data availability
AI-003,AI/ML Requirements,Accuracy Improvement,How will you handle cases where extraction accuracy is low?,Multiple Choice,"Human review workflow,Confidence scoring,Automated rejection,Manual correction interface,Other","",High,AI Assessment,Quality assurance process
AI-004,AI/ML Requirements,Model Updates,How often do you expect to retrain or update models?,Multiple Choice,"Never,Quarterly,Monthly,As needed,Continuously","",Medium,AI Assessment,Model maintenance expectations
ORG-001,Organizational,Resources,Who will be the technical lead for this IDP project?,Text,,"",High,Resource Planning,Technical ownership
ORG-002,Organizational,Resources,What internal resources are available for IDP implementation?,Text,,"",High,Resource Planning,Team availability
ORG-003,Organizational,Resources,What is your team's experience with AWS AI/ML services?,Multiple Choice,"No experience,Basic knowledge,Intermediate,Advanced,Expert","",Medium,Resource Planning,Training needs assessment
ORG-004,Organizational,Change Management,How will you handle the transition from manual to automated processing?,Text,,"",Medium,Change Management,Change management approach
ORG-005,Organizational,Change Management,What training will be needed for end users?,Text,,"",Medium,Change Management,Training requirements
ORG-006,Organizational,Governance,What approval processes are required for document processing changes?,Text,,"",Medium,Governance,Change approval process
WORKFLOW-001,Workflow Requirements,Process Flow,What happens to documents after data extraction?,Text,,"",High,Workflow Design,Downstream processing requirements
WORKFLOW-002,Workflow Requirements,Process Flow,How should processing errors and exceptions be handled?,Text,,"",High,Workflow Design,Error handling requirements
WORKFLOW-003,Workflow Requirements,Process Flow,Do you need human-in-the-loop review capabilities?,Multiple Choice,"Always required,Only for low confidence,Only for exceptions,Never needed","",Medium,Workflow Design,Human review requirements
WORKFLOW-004,Workflow Requirements,Process Flow,What notifications or alerts do you need during processing?,Text,,"",Medium,Workflow Design,Notification requirements
RISK-001,Risk Assessment,Implementation,What are your main concerns about implementing IDP?,Text,,"",High,Risk Assessment,Primary implementation concerns
RISK-002,Risk Assessment,Implementation,What could cause this IDP project to fail?,Text,,"",High,Risk Assessment,Failure mode analysis
RISK-003,Risk Assessment,Data,What are your concerns about data accuracy and quality?,Text,,"",High,Risk Assessment,Data quality risks
RISK-004,Risk Assessment,Technical,What technical risks worry you most about AI/ML implementation?,Text,,"",Medium,Risk Assessment,Technical risk factors
FUTURE-001,Future State,Vision,What is your long-term vision for document processing automation?,Text,,"",Medium,Strategic Planning,Future roadmap
FUTURE-002,Future State,Growth,How do you expect document processing volumes to change?,Text,,"",Medium,Strategic Planning,Scalability planning
FUTURE-003,Future State,Integration,What future document types or sources might need processing?,Text,,"",Low,Strategic Planning,Future expansion needs
VENDOR-001,Vendor Selection,Experience,What AWS AI/ML implementation experience do you expect from partners?,Text,,"",High,Vendor Assessment,Partner requirements
VENDOR-002,Vendor Selection,Support,What ongoing support do you expect for the IDP solution?,Text,,"",High,Vendor Assessment,Support expectations
