Phase,Work Package,Task Description,Resource Type,Estimated Hours,Rate,Cost Estimate,Dependencies,Risk Level,Notes
Deployment,Branch Production Deployment,Deploy and cutover production traffic at 10 branch locations,EO Engineer,40,$200,"=TEXT(E24*F24,""$#,##0"")",,Medium,Pilot site first then standardized rollout
Deployment,Go-Live Support,Provide 24x7 support during production cutover and stabilization,EO Engineer,80,$200,"=TEXT(E25*F25,""$#,##0"")",,High,First 2 weeks post-deployment with on-call support
Training,SRX Administrator Training,Train firewall administrators on SRX management Junos OS and troubleshooting,EO Engineer,16,$200,"=TEXT(E26*F26,""$#,##0"")",,Medium,2-day hands-on training for up to 8 administrators
Training,Security Operations Training,Train SOC team on policy management threat investigation and Security Director,EO Engineer,8,$200,"=TEXT(E27*F27,""$#,##0"")",,Medium,1-day training for security operations team
Training,Documentation Development,Create as-built diagrams runbooks and operational procedures,EO Engineer,40,$150,"=TEXT(E28*F28,""$#,##0"")",,Medium,Architecture diagrams configuration guides and troubleshooting
Closeout,Knowledge Transfer,Transfer solution ownership to client operations and security teams,EO Engineer,16,$200,"=TEXT(E29*F29,""$#,##0"")",,Medium,Operational procedures escalation paths and maintenance
Closeout,Performance Baseline,Establish performance baselines security metrics and monitoring SLAs,EO Engineer,8,$150,"=TEXT(E30*F30,""$#,##0"")",,Medium,Throughput metrics security events and uptime monitoring
Management,Technical Leadership,Security architecture oversight and technical review throughout project,EO Quarterback,"=ROUND(SUM(E2:E30)*0.25,0)",$225,"=TEXT(E31*F31,""$#,##0"")",,Medium,25% of engineering effort for architecture guidance
Management,Project Management,Project coordination stakeholder management and timeline oversight,EO Project Manager,"=ROUND(SUM(E2:E30)*0.20,0)",$150,"=TEXT(E32*F32,""$#,##0"")",,Low,20% of engineering effort for project delivery
,,,     TOTAL HOURS,1336,   TOTAL COST,"=TEXT(E2*F2+E3*F3+E4*F4+E5*F5+E6*F6+E7*F7+E8*F8+E9*F9+E10*F10+E11*F11+E12*F12+E13*F13+E14*F14+E15*F15+E16*F16+E17*F17+E18*F18+E19*F19+E20*F20+E21*F21+E22*F22+E23*F23+E24*F24+E25*F25+E26*F26+E27*F27+E28*F28+E29*F29+E30*F30+E31*F31+E32*F32,""$#,##0"")",,,Total Juniper SRX Firewall Platform professional services
