Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
SIEM_PLATFORM,Security Monitoring,All,Microsoft Sentinel,Security Information Event Management,Yes,String,Valid SIEM platform,Confidential,SOC Team,Log analysis,Centralized security monitoring,[DATE]
LOG_RETENTION_YEARS,Compliance,All,7,Security log retention period in years,Yes,Integer,3-10,Confidential,Compliance Team,Audit requirements,Long-term compliance,[DATE]
AUDIT_LOG_INTEGRITY,Compliance,All,digital-signature,Audit log integrity protection,Yes,String,hash|digital-signature|blockchain,Secret,Audit Team,Non-repudiation,Tamper-evident logs,[DATE]
CONTINUOUS_MONITORING,Security Operations,All,24x7,Continuous security monitoring,Yes,String,24x7|business-hours,Confidential,SOC Team,Threat response,Round-the-clock monitoring,[DATE]
VULNERABILITY_SCANNING_FREQUENCY,Security Assessment,All,weekly,Vulnerability scanning frequency,Yes,String,daily|weekly|monthly,Confidential,Security Team,Risk management,Regular security assessment,[DATE]
PENETRATION_TESTING_FREQUENCY,Security Assessment,All,quarterly,Penetration testing frequency,Yes,String,monthly|quarterly|annually,Secret,Security Team,Security validation,Third-party security testing,[DATE]
INCIDENT_RESPONSE_PLAN,Security Operations,All,required,Incident response plan requirement,Yes,String,required|optional,Confidential,Incident Response,Security incidents,Documented IR procedures,[DATE]
INCIDENT_RESPONSE_TIME_CRITICAL,Security Operations,All,1,Critical incident response time in hours,Yes,Integer,1-4,Confidential,Incident Response,SLA requirements,Immediate response,[DATE]
INCIDENT_RESPONSE_TIME_HIGH,Security Operations,All,4,High severity incident response time in hours,Yes,Integer,2-8,Confidential,Incident Response,SLA requirements,Rapid response,[DATE]
SECURITY_AWARENESS_TRAINING,Compliance,All,required,Security awareness training requirement,Yes,String,required|optional,Confidential,Training Team,Personnel security,Annual training requirement,[DATE]
BACKGROUND_CHECK_REQUIREMENT,Personnel Security,All,required,Background check requirement,Yes,String,required|optional,Secret,HR Team,Clearance requirement,Personnel screening,[DATE]
SECURITY_CLEARANCE_LEVEL,Personnel Security,All,Secret,Required security clearance level,Yes,String,Public Trust|Secret|Top Secret,Secret,Security Team,Access authorization,Government clearance,[DATE]
PHYSICAL_ACCESS_CONTROLS,Physical Security,All,biometric,Physical access control system,Yes,String,card|biometric|dual-factor,Secret,Physical Security,Facility access,Multi-factor physical access,[DATA]
FACILITY_SECURITY_LEVEL,Physical Security,All,SCIF,Facility security classification,Yes,String,Normal|Sensitive|SCIF,Secret,Physical Security,Information handling,Sensitive Compartmented Information Facility,[DATE]
VIDEO_SURVEILLANCE,Physical Security,All,required,Video surveillance requirement,Yes,String,required|optional,Confidential,Physical Security,Monitoring coverage,24x7 video monitoring,[DATE]
BACKUP_ENCRYPTION,Data Protection,All,required,Backup encryption requirement,Yes,String,required|optional,Secret,Backup Team,Data at rest,Encrypted backup storage,[DATE]
BACKUP_OFFSITE_STORAGE,Data Protection,All,required,Offsite backup storage requirement,Yes,String,required|optional,Confidential,Backup Team,Disaster recovery,Geographic separation,[DATE]
BACKUP_RETENTION_COMPLIANCE,Data Protection,All,7-years,Compliance-driven backup retention,Yes,String,Valid retention period,Confidential,Compliance Team,Regulatory requirements,Long-term data retention,[DATE]
DISASTER_RECOVERY_RTO,Business Continuity,All,4,Recovery Time Objective in hours,Yes,Integer,1-24,Confidential,DR Team,Service restoration,Maximum downtime tolerance,[DATE]
DISASTER_RECOVERY_RPO,Business Continuity,All,1,Recovery Point Objective in hours,Yes,Integer,0-4,Confidential,DR Team,Data loss tolerance,Maximum data loss tolerance,[DATE]
BUSINESS_CONTINUITY_PLAN,Business Continuity,All,required,Business continuity plan requirement,Yes,String,required|optional,Confidential,BCP Team,Operational resilience,Documented continuity procedures,[DATE]
SUPPLY_CHAIN_SECURITY,Compliance,All,required,Supply chain security requirements,Yes,String,required|optional,Secret,Procurement Team,Vendor management,CMMC supply chain controls,[DATE]
THIRD_PARTY_ASSESSMENT,Compliance,All,required,Third-party security assessment,Yes,String,required|optional,Secret,Vendor Management,Risk assessment,External security validation,[DATE]
CONFIGURATION_MANAGEMENT,Operations,All,automated,Configuration management system,Yes,String,automated|manual,Confidential,DevOps Team,Change control,Automated configuration enforcement,[DATE]
CHANGE_MANAGEMENT_PROCESS,Operations,All,required,Change management process,Yes,String,required|optional,Confidential,Change Control,Process control,Formal change procedures,[DATE]
SECURITY_TESTING_INTEGRATION,Development,All,required,Security testing in development,Yes,String,required|optional,Confidential,DevSecOps Team,Shift-left security,Integrated security testing,[DATE]
SECURE_CODING_STANDARDS,Development,All,required,Secure coding standards requirement,Yes,String,required|optional,Confidential,Development Team,Code security,OWASP secure coding,[DATE]
CODE_REVIEW_SECURITY,Development,All,required,Security-focused code reviews,Yes,String,required|optional,Confidential,Development Team,Code quality,Security review process,[DATE]
MAINTENANCE_WINDOW_SECURITY,Operations,All,Sunday 02:00-04:00 UTC,Security maintenance window,Yes,String,Valid time range,Confidential,Security Operations,System updates,Coordinated security updates,[DATE]
