Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
ACI_FABRIC_MODE,ACI Network,All,multipod,ACI fabric deployment mode,Yes,String,single-pod|multipod|multisite,Public,Network Team,Data center architecture,Multipod for site resilience,[DATE]
ACI_APIC_COUNT,ACI Network,All,3,Number of APIC controllers,Yes,Integer,3-5,Public,Network Team,Cluster quorum,Always odd number,[DATE]
ACI_SPINE_COUNT,ACI Network,All,4,Number of spine switches,Yes,Integer,2-8,Public,Network Team,Leaf connectivity,Plan for leaf growth,[DATE]
ACI_LEAF_COUNT,ACI Network,All,12,Number of leaf switches,Yes,Integer,4-64,Public,Network Team,Server connectivity,Access layer switches,[DATE]
ACI_SPINE_MODEL,ACI Network,All,N9K-C9364C,ACI spine switch model,Yes,String,Valid spine model,Public,Network Team,Bandwidth requirements,400G capable spines,[DATE]
ACI_LEAF_MODEL,ACI Network,All,N9K-C93180YC-EX,ACI leaf switch model,Yes,String,Valid leaf model,Public,Network Team,Port density needs,48x25G + 6x100G,[DATE]
ACI_CONTRACT_POLICY,ACI Network,All,whitelist,Default contract enforcement policy,Yes,String,whitelist|blacklist,Public,Security Team,Microsegmentation,Whitelist for security,[DATE]
NETWORK_SEGMENTATION_POLICY,Security,All,strict,Network microsegmentation policy,Yes,String,strict|moderate|permissive,Confidential,Security Team,ACI configuration,Zero-trust approach,[DATE]
QOS_CONFIGURATION,Network,All,enabled,Quality of Service configuration,Yes,String,enabled|disabled,Public,Network Team,Application priority,Critical for voice/video,[DATE]
LOAD_BALANCER_TYPE,Network,All,F5 Big-IP,Load balancer platform,Yes,String,F5|Cisco|HAProxy,Public,Network Team,Application delivery,Enterprise F5 platform,[DATE]
LOAD_BALANCER_HA_MODE,Network,All,active-standby,Load balancer high availability mode,Yes,String,active-standby|active-active,Public,Network Team,Service availability,Stateful failover,[DATE]
FIREWALL_PLATFORM,Security,All,Cisco ASA,Primary firewall platform,Yes,String,Valid firewall model,Public,Security Team,Perimeter security,Next-gen ASA platform,[DATE]
FIREWALL_CLUSTER_MODE,Security,All,active-standby,Firewall clustering mode,Yes,String,active-standby|active-active,Public,Security Team,Security availability,Stateful failover,[DATE]
IDS_IPS_ENABLED,Security,All,true,Enable intrusion detection/prevention,Yes,Boolean,true|false,Public,Security Team,Threat detection,Cisco FirePOWER integration,[DATE]
VPN_PLATFORM,Security,All,Cisco ASA,VPN termination platform,Yes,String,Valid VPN platform,Public,Security Team,Remote access,SSL/IPSec capable,[DATE]
VPN_MAX_CONCURRENT_USERS,Security,All,1000,Maximum concurrent VPN users,Yes,Integer,100-10000,Public,Security Team,License planning,Size for peak usage,[DATE]
VMWARE_VCENTER_VERSION,Virtualization,All,7.0 U3,VMware vCenter version,Yes,String,Valid vCenter version,Public,Virtualization Team,Compatibility matrix,Latest supported version,[DATE]
VMWARE_ESX_VERSION,Virtualization,All,7.0 U3,VMware ESXi version,Yes,String,Valid ESXi version,Public,Virtualization Team,VMWARE_VCENTER_VERSION,Match vCenter compatibility,[DATE]
VMWARE_LICENSE_TYPE,Virtualization,All,Enterprise Plus,VMware licensing edition,Yes,String,Standard|Enterprise|Enterprise Plus,Confidential,Virtualization Team,Feature requirements,Full feature set,[DATE]
VMWARE_HA_ENABLED,Virtualization,All,true,Enable VMware High Availability,Yes,Boolean,true|false,Public,Virtualization Team,Service continuity,Always enable for production,[DATE]
VMWARE_DRS_ENABLED,Virtualization,All,true,Enable Distributed Resource Scheduler,Yes,Boolean,true|false,Public,Virtualization Team,Resource optimization,Load balancing,[DATE]
BACKUP_SOLUTION,Operations,All,Veeam Backup & Replication,Primary backup solution,Yes,String,Valid backup platform,Public,Backup Team,Data protection,Enterprise backup platform,[DATE]
BACKUP_RETENTION_DAILY,Operations,All,30,Daily backup retention in days,Yes,Integer,7-90,Public,Backup Team,Storage planning,Balance cost and recovery,[DATE]
BACKUP_RETENTION_MONTHLY,Operations,All,12,Monthly backup retention in months,Yes,Integer,6-24,Public,Backup Team,Compliance requirements,Long-term retention,[DATE]
MONITORING_PLATFORM,Monitoring,All,Cisco DNA Center,Primary monitoring platform,Yes,String,Valid monitoring tool,Public,Monitoring Team,Cisco integration,Unified Cisco management,[DATE]
SNMP_COMMUNITY,Monitoring,All,[snmp-community],SNMP community string,Yes,String,Alphanumeric string,Secret,Monitoring Team,SNMP configuration,Unique per environment,[DATE]
SYSLOG_SERVER,Monitoring,All,[syslog-server-ip],Centralized syslog server,Yes,String,Valid IP address,Confidential,Monitoring Team,Log aggregation,High availability pair,[DATE]
NTP_PRIMARY_SERVER,Time Synchronization,All,[ntp-primary-ip],Primary NTP server,Yes,String,Valid IP/FQDN,Public,Infrastructure,Network connectivity,Internal NTP server,[DATE]
NTP_SECONDARY_SERVER,Time Synchronization,All,[ntp-secondary-ip],Secondary NTP server,Yes,String,Valid IP/FQDN,Public,Infrastructure,Network connectivity,Backup time source,[DATE]
DNS_PRIMARY_SERVER,DNS,All,[dns-primary-ip],Primary DNS server,Yes,String,Valid IP address,Public,Infrastructure,DNS resolution,Internal DNS server,[DATE]
DNS_SECONDARY_SERVER,DNS,All,[dns-secondary-ip],Secondary DNS server,Yes,String,Valid IP address,Public,Infrastructure,DNS resolution,Backup DNS server,[DATE]
DOMAIN_NAME,DNS,All,[company-domain.com],Primary domain name,Yes,String,Valid FQDN,Public,Infrastructure,DNS infrastructure,Corporate domain,[DATE]
MAINTENANCE_WINDOW,Operations,All,Saturday 02:00-06:00 UTC,Weekly maintenance window,Yes,String,Valid time range,Public,Operations,Change management,Low impact time slot,[DATE]
CISCO_SUPPORT_CONTRACT,Support,All,Solution Support,Cisco support contract level,Yes,String,Valid contract type,Confidential,Support Team,Vendor relationship,24x7 support coverage,[DATE]
CISCO_SMARTNET_ENABLED,Support,All,true,Enable Cisco SmartNet services,Yes,Boolean,true|false,Public,Support Team,Proactive monitoring,Hardware replacement,[DATE]
DISASTER_RECOVERY_SITE,Operations,Production,enabled,Disaster recovery site configuration,Yes,String,enabled|disabled,Public,DR Team,Site planning,Geographic separation,[DATE]
DR_RPO_HOURS,Operations,Production,4,Recovery Point Objective in hours,Yes,Integer,1-24,Public,DR Team,Business requirements,Data loss tolerance,[DATE]
DR_RTO_HOURS,Operations,Production,8,Recovery Time Objective in hours,Yes,Integer,1-48,Public,DR Team,Business requirements,Service restoration time,[DATE]
