Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
GITHUB_PACKAGES_ENABLED,GitHub Packages,All,true,Enable GitHub Packages registry,Yes,Boolean,true|false,Public,Development,Artifact storage,Internal package registry,[DATE]
GITHUB_PACKAGES_STORAGE_LIMIT_GB,GitHub Packages,All,500,Package storage limit in GB,Yes,Integer,100-5000,Public,Development,Storage planning,Enterprise package storage,[DATE]
GITHUB_CONTAINER_REGISTRY_ENABLED,GitHub Packages,All,true,Enable GitHub Container Registry,Yes,Boolean,true|false,Public,Development,Container images,Docker/OCI image registry,[DATE]
GITHUB_SECURITY_ADVISORIES,GitHub Security,All,enabled,Enable security advisories,Yes,String,enabled|disabled,Public,Security Team,Vulnerability management,Security notifications,[DATE]
GITHUB_DEPENDABOT_ENABLED,GitHub Security,All,true,Enable Dependabot updates,Yes,Boolean,true|false,Public,Security Team,Dependency management,Automated dependency updates,[DATE]
GITHUB_DEPENDABOT_FREQUENCY,GitHub Security,All,weekly,Dependabot check frequency,Yes,String,daily|weekly|monthly,Public,Security Team,Update cadence,Weekly security updates,[DATE]
GITHUB_CODE_SCANNING_ENABLED,GitHub Security,All,true,Enable CodeQL code scanning,Yes,Boolean,true|false,Public,Security Team,Static analysis,Automated vulnerability detection,[DATE]
GITHUB_SECRET_SCANNING_ENABLED,GitHub Security,All,true,Enable secret scanning,Yes,Boolean,true|false,Public,Security Team,Credential protection,Prevent credential leaks,[DATE]
GITHUB_ADVANCED_SECURITY_LICENSE,GitHub Security,All,true,GitHub Advanced Security licensing,Yes,Boolean,true|false,Confidential,Security Team,Premium security features,Required for enterprise security,[DATE]
SAML_SSO_ENABLED,Authentication,All,true,Enable SAML single sign-on,Yes,Boolean,true|false,Confidential,Security Team,Identity provider,Enterprise authentication,[DATE]
SAML_IDP_URL,Authentication,All,[saml-idp-url],SAML identity provider URL,Yes,String,Valid HTTPS URL,Secret,Security Team,Active Directory integration,Corporate identity provider,[DATE]
LDAP_SYNC_ENABLED,Authentication,All,true,Enable LDAP user sync,Yes,Boolean,true|false,Confidential,Security Team,User provisioning,Automated user management,[DATE]
LDAP_SERVER_URL,Authentication,All,[ldap-server-url],LDAP server URL,Yes,String,Valid LDAP URL,Secret,Security Team,Directory service,Corporate LDAP server,[DATE]
TWO_FACTOR_REQUIRED,Security,All,true,Require two-factor authentication,Yes,Boolean,true|false,Public,Security Team,Account security,Mandatory 2FA for all users,[DATE]
IP_ALLOWLIST_ENABLED,Security,All,true,Enable IP address allowlist,Yes,Boolean,true|false,Confidential,Security Team,Network security,Restrict access by IP,[DATE]
IP_ALLOWLIST_RANGES,Security,All,[corporate-ip-ranges],Allowed IP address ranges,Yes,String,Valid CIDR ranges,Secret,Security Team,Network configuration,Corporate network ranges,[DATE]
WEBHOOK_SECRET_TOKEN,Integration,All,[webhook-secret],Webhook secret token,Yes,String,Min 32 characters,Secret,DevOps Team,External integrations,Secure webhook validation,[DATE]
SLACK_INTEGRATION_ENABLED,Integration,All,true,Enable Slack notifications,Yes,Boolean,true|false,Public,DevOps Team,Team communication,Build status notifications,[DATE]
SLACK_WEBHOOK_URL,Integration,All,[slack-webhook-url],Slack incoming webhook URL,Yes,String,Valid webhook URL,Secret,DevOps Team,Notification delivery,Team notification channel,[DATE]
JIRA_INTEGRATION_ENABLED,Integration,All,true,Enable Jira integration,Yes,Boolean,true|false,Public,DevOps Team,Issue tracking,Link commits to tickets,[DATE]
JIRA_SERVER_URL,Integration,All,[jira-server-url],Jira server URL,Yes,String,Valid HTTPS URL,Confidential,DevOps Team,Issue management,Corporate Jira instance,[DATE]
SONARQUBE_INTEGRATION_ENABLED,Quality Gates,All,true,Enable SonarQube integration,Yes,Boolean,true|false,Public,Quality Team,Code quality,Static code analysis,[DATE]
SONARQUBE_SERVER_URL,Quality Gates,All,[sonar-server-url],SonarQube server URL,Yes,String,Valid HTTPS URL,Confidential,Quality Team,Quality gates,Code quality platform,[DATE]
SONARQUBE_QUALITY_GATE,Quality Gates,All,Sonar way,Default quality gate profile,Yes,String,Valid quality gate,Public,Quality Team,Quality standards,Standard quality criteria,[DATE]
SECURITY_SCAN_TOOLS,Security Scanning,All,"CodeQL,Snyk,OWASP Dependency Check",Enabled security scanning tools,Yes,String,Comma-separated tool list,Public,Security Team,Vulnerability detection,Multi-tool security analysis,[DATE]
SAST_SCAN_ENABLED,Security Scanning,All,true,Enable static application security testing,Yes,Boolean,true|false,Public,Security Team,Code security,Source code vulnerability scan,[DATE]
DAST_SCAN_ENABLED,Security Scanning,All,false,Enable dynamic application security testing,No,Boolean,true|false,Public,Security Team,Runtime security,Application security testing,[DATE]
CONTAINER_SCANNING_ENABLED,Security Scanning,All,true,Enable container image scanning,Yes,Boolean,true|false,Public,Security Team,Image security,Docker/OCI image vulnerabilities,[DATE]
LICENSE_SCANNING_ENABLED,Security Scanning,All,true,Enable license compliance scanning,Yes,Boolean,true|false,Public,Legal Team,License compliance,Open source license validation,[DATE]
DEPLOYMENT_ENVIRONMENTS,Deployment,All,"development,staging,production",Deployment environment names,Yes,String,Comma-separated environments,Public,DevOps Team,Pipeline configuration,Standard deployment pipeline,[DATE]
DEPLOYMENT_APPROVAL_REQUIRED,Deployment,Production,true,Require deployment approval,Yes,Boolean,true|false,Public,DevOps Team,Change control,Manual approval for production,[DATE]
DEPLOYMENT_PROTECTION_RULES,Deployment,Production,enabled,Enable deployment protection rules,Yes,String,enabled|disabled,Public,DevOps Team,Deployment safety,Prevent unauthorized deployments,[DATE]
BLUE_GREEN_DEPLOYMENT,Deployment,Production,enabled,Enable blue-green deployment,Yes,String,enabled|disabled,Public,DevOps Team,Zero-downtime deployment,Minimize deployment risk,[DATE]
CANARY_DEPLOYMENT,Deployment,Production,enabled,Enable canary deployment,Yes,String,enabled|disabled,Public,DevOps Team,Progressive rollout,Gradual feature rollout,[DATE]
MONITORING_INTEGRATION,Monitoring,All,Prometheus + Grafana,Primary monitoring platform,Yes,String,Valid monitoring stack,Public,Operations,Pipeline observability,CI/CD metrics and alerts,[DATE]
METRICS_RETENTION_DAYS,Monitoring,All,365,Metrics retention period in days,Yes,Integer,30-1095,Public,Operations,Storage planning,Annual metrics history,[DATE]
ALERTING_ENABLED,Monitoring,All,true,Enable alerting for pipeline failures,Yes,Boolean,true|false,Public,Operations,Incident response,Proactive failure notifications,[DATE]
ALERT_CHANNELS,Monitoring,All,"email,slack,pagerduty",Alert notification channels,Yes,String,Comma-separated channels,Public,Operations,Notification routing,Multi-channel alerting,[DATE]
BACKUP_ENABLED,Operations,All,true,Enable automated backups,Yes,Boolean,true|false,Public,Operations,Data protection,Repository and configuration backup,[DATE]
BACKUP_FREQUENCY,Operations,All,daily,Backup frequency schedule,Yes,String,daily|weekly|monthly,Public,Operations,Data protection,Daily incremental backups,[DATE]
BACKUP_RETENTION_DAYS,Operations,All,90,Backup retention period in days,Yes,Integer,30-365,Public,Operations,Storage management,Compliance-driven retention,[DATE]
DISASTER_RECOVERY_ENABLED,Operations,Production,true,Enable disaster recovery setup,Yes,Boolean,true|false,Public,DR Team,Business continuity,Multi-region availability,[DATE]
MAINTENANCE_WINDOW,Operations,All,Sunday 02:00-04:00 UTC,Weekly maintenance window,Yes,String,Valid time range,Public,Operations,System updates,Minimize developer impact,[DATE]
