Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
SERVICE_TIMEOUT,Integration,All,30000,Service call timeout in milliseconds,Yes,Integer,1000-300000,Public,Integration Team,Network latency,Adjust based on SLA,[DATE]
METRICS_ENABLED,Monitoring,All,true,Enable metrics collection,Yes,Boolean,true|false,Public,Operations,Monitoring tools,Always enable for production,[DATE]
HEALTH_CHECK_PATH,Monitoring,All,/health,Health check endpoint path,Yes,String,Valid URL path,Public,Operations,Load balancer,Must return 200 for healthy,[DATE]
PROMETHEUS_PORT,Monitoring,All,9090,Port for Prometheus metrics,Yes,Integer,1024-65535,Public,Operations,Monitoring stack,Ensure port availability,[DATE]
VPC_CIDR,Network,All,10.0.0.0/16,VPC CIDR block,Yes,String,Valid CIDR notation,Public,Network Team,IP planning,Plan for future growth,[DATE]
PUBLIC_SUBNET_1,Network,All,10.0.1.0/24,First public subnet CIDR,Yes,String,Valid CIDR notation,Public,Network Team,VPC_CIDR,Must be within VPC CIDR,[DATE]
PUBLIC_SUBNET_2,Network,All,10.0.2.0/24,Second public subnet CIDR,Yes,String,Valid CIDR notation,Public,Network Team,VPC_CIDR,Different AZ from subnet 1,[DATE]
PRIVATE_SUBNET_1,Network,All,10.0.10.0/24,First private subnet CIDR,Yes,String,Valid CIDR notation,Public,Network Team,VPC_CIDR,Must be within VPC CIDR,[DATE]
PRIVATE_SUBNET_2,Network,All,10.0.11.0/24,Second private subnet CIDR,Yes,String,Valid CIDR notation,Public,Network Team,VPC_CIDR,Different AZ from subnet 1,[DATE]
DB_SUBNET_1,Network,All,10.0.20.0/24,First database subnet CIDR,Yes,String,Valid CIDR notation,Public,Network Team,VPC_CIDR,Isolated database tier,[DATE]
DB_SUBNET_2,Network,All,10.0.21.0/24,Second database subnet CIDR,Yes,String,Valid CIDR notation,Public,Network Team,VPC_CIDR,Different AZ from subnet 1,[DATE]
BACKUP_RETENTION,Operations,All,30,Backup retention period in days,Yes,Integer,7-365,Public,Operations,Backup strategy,Comply with data policies,[DATE]
BACKUP_SCHEDULE,Operations,All,0 2 * * *,Backup schedule in cron format,Yes,String,Valid cron expression,Public,Operations,Backup service,Daily at 2 AM UTC,[DATE]
LOG_RETENTION,Operations,All,90,Log retention period in days,Yes,Integer,30-365,Public,Operations,Log management,Balance cost and compliance,[DATE]
SCALING_MIN_INSTANCES,Operations,All,2,Minimum number of instances,Yes,Integer,1-10,Public,Operations,Load balancer,Ensure high availability,[DATE]
SCALING_MAX_INSTANCES,Operations,All,10,Maximum number of instances,Yes,Integer,5-100,Public,Operations,Cost management,Set based on peak load,[DATE]
SCALING_TARGET_CPU,Operations,All,70,CPU threshold for auto-scaling,Yes,Integer,50-90,Public,Operations,Performance monitoring,Tune based on application behavior,[DATE]
