# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,DGX Systems,8x DGX H100 systems,4 systems (32 GPUs),8 systems (64 GPUs),16 systems (128 GPUs),DGX H100 with 8x H100 80GB per system
Solution Scope,AI Workload Type,LLM training and inference,Small models <50B params,LLMs 50B-500B params,LLMs >500B params + multi-modal,Training complexity and dataset size
Integration,Research Team Size,50-75 data scientists,20-30 users,50-75 users,100+ users,Concurrent GPU access and job scheduling
Integration,Storage Infrastructure,1 PB NVMe storage,500 TB,1 PB,2 PB+,High-performance parallel file system
Data Volume,Training Datasets,Multi-TB datasets,100-500 TB,1-5 PB,10+ PB,Dataset storage and streaming requirements
Data Volume,Model Checkpointing,Frequent checkpointing,Hourly,Every few hours,Continuous,Storage I/O and capacity impact
Technical Environment,Network Fabric,InfiniBand 400 Gbps,200 Gbps IB,400 Gbps IB (Quantum-2),800 Gbps IB,Multi-node distributed training performance
Technical Environment,Datacenter Readiness,Facility upgrades required,Minimal upgrades,Moderate (power/cooling),Major buildout,500 kW power and cooling infrastructure
Technical Environment,Deployment Model,On-premises datacenter,Colocation,On-prem datacenter,Custom DGX-Ready facility,Physical deployment location
Security & Compliance,Data Classification,Proprietary AI models,Internal use,Confidential,Highly restricted/export control,Model and dataset protection requirements
Security & Compliance,Compliance Requirements,Standard security,Basic controls,SOC2 + HIPAA,FedRAMP + ITAR,Regulatory frameworks for AI workloads
Performance,GPU Utilization Target,70-80% utilization,60%+ baseline,70-80% optimized,85%+ with advanced scheduling,Resource efficiency and ROI
Performance,Training Time Requirements,Weeks to train large models,Months acceptable,Weeks required,Days critical,Time-to-insight business impact
Environment,Software Stack,NVIDIA AI Enterprise + NGC,Basic NGC,AI Enterprise full suite,Custom platform + support,Software licensing and support level
Environment,Management Platform,Base Command Manager,Manual scheduling,Base Command,Enterprise platform + Run:ai,Cluster orchestration complexity

# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (AI Requirements, Workload Analysis, Datacenter Assessment, Team Planning)"
Planning,PLANNING_MX,1,"All Planning phase tasks (DGX Architecture, Network Design, Storage Design, Facilities Planning)"
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Site Preparation, DGX Installation, Network Fabric, Storage Deployment, Software Setup)"
Testing,TESTING_MX,1,"All Testing phase tasks (System Validation, Benchmark Testing, Workload Testing, Performance Tuning)"
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Handoff, User Onboarding, Production Workloads)"
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, User Training, Documentation)"
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)"
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Technical Leadership overhead - 10% of actual engineering hours

# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Testing,Performance Tuning,Optimize GPU utilization distributed training and job scheduling,EO Engineer,32,='Estimate Settings'!$C$6,=$E57*$F57,$225,"=TEXT($G57*$H57,""$#,##0"")",Workload Benchmarking,Tune NCCL parameters GPU affinity and Base Command scheduling policies
Deployment,Production Handoff,Transition DGX SuperPOD to production with monitoring and support,EO Engineer,24,='Estimate Settings'!$C$7,=$E58*$F58,$200,"=TEXT($G58*$H58,""$#,##0"")",Performance Tuning,Production readiness validation and operational procedures documentation
Deployment,User Onboarding,Onboard research teams with account provisioning and job submission access,EO Engineer,32,='Estimate Settings'!$C$7,=$E59*$F59,$150,"=TEXT($G59*$H59,""$#,##0"")",Production Handoff,User account setup quota allocation and initial job submission support
Deployment,Production Workload Migration,Migrate initial AI training workloads to DGX SuperPOD,EO Engineer,40,='Estimate Settings'!$C$7,=$E60*$F60,$175,"=TEXT($G60*$H60,""$#,##0"")",User Onboarding,Assist with first production model training jobs and troubleshooting
Training,Administrator Training,Train IT administrators on DGX cluster management and troubleshooting,EO Engineer,24,='Estimate Settings'!$C$8,=$E61*$F61,$200,"=TEXT($G61*$H61,""$#,##0"")",Production Handoff,Base Command administration GPU monitoring and system maintenance
Training,Data Scientist Training,Train researchers on GPU job submission NGC containers and best practices,EO Engineer,32,='Estimate Settings'!$C$8,=$E62*$F62,$175,"=TEXT($G62*$H62,""$#,##0"")",Administrator Training,Distributed training multi-GPU jobs and model checkpointing workflows
Training,Documentation,Create technical documentation runbooks and operational procedures,EO Engineer,40,='Estimate Settings'!$C$8,=$E63*$F63,$150,"=TEXT($G63*$H63,""$#,##0"")",Data Scientist Training,Deliverable: Operations runbook troubleshooting guides and user documentation
Closeout,Knowledge Transfer,Transfer DGX SuperPOD ownership to client infrastructure team,EO Engineer,24,='Estimate Settings'!$C$9,=$E64*$F64,$200,"=TEXT($G64*$H64,""$#,##0"")",Documentation,Comprehensive handover including architecture GPU management and escalation
Closeout,Performance Baseline,Establish GPU utilization metrics and performance monitoring baselines,EO Engineer,16,='Estimate Settings'!$C$9,=$E65*$F65,$175,"=TEXT($G65*$H65,""$#,##0"")",Knowledge Transfer,Establishes GPU efficiency KPIs training throughput and cost-per-job metrics
Management,Technical Leadership,NVIDIA GPU infrastructure technical oversight and architecture review,EO Quarterback,"=ROUND(SUM($G$3:$G$35)*0.10,0)",='Estimate Settings'!$C$11,=$E66*$F66,$225,"=TEXT($G66*$H66,""$#,##0"")",,DGX platform expertise InfiniBand optimization and technical escalation
Management,Project Management,Project coordination planning and stakeholder management,EO Project Manager,"=ROUND(SUM($G$3:$G$35)*0.10,0)",='Estimate Settings'!$C$10,=$E67*$F67,$175,"=TEXT($G67*$H67,""$#,##0"")",,Includes weekly status NVIDIA coordination and risk management
,,,,,TOTAL HOURS,"=SUM($G$3:$G$37)",TOTAL COST,"=TEXT(SUMPRODUCT($G$3:$G$37,$H$3:$H$37),""$#,##0"")",,EO Sales Engineer: Update phase multipliers in Estimate Settings based on DGX deployment scope

# Credits - Applied to Total Cost (Year 1 Only)
#WIDTH: 27,17,100
#ALIGN: left,right,left
Credit Type,Credit Amount,Credit Comments
NVIDIA Partner Services Credit,"($15000)",NVIDIA Partner Network credit for DGX deployment and integration services
Implementation Discount,$0,No implementation discount applicable
NET PROFESSIONAL SERVICES COST,"=SUMPRODUCT($G$3:$G$37,$H$3:$H$37)-15000",Total Cost minus NVIDIA Partner credits
