Role_ID,Role_Name,Department,Level,Required_Skills,Certifications,Experience_Years,Responsibilities,Daily_Activities,Success_Metrics,Training_Requirements,Budget_Range_USD
ROLE-011,Security DevOps Engineer,DevSecOps,Mid-level,"Infrastructure as Code, CI/CD Security, Cloud Security, Automation","Azure DevOps Engineer, Terraform, Kubernetes",4+,"Security automation, Infrastructure deployment, CI/CD pipeline security","Automation development, Pipeline security, Infrastructure management","Deployment success rate >98%",DevSecOps and infrastructure automation,90000-130000
ROLE-012,Cybersecurity Consultant,Consulting,Senior,"Multi-domain Security Expertise, Client Management, Solution Design","CISSP, CISM, domain-specific certifications",7+,"Client advisory services, Solution design, Implementation guidance","Client consultation, Solution design, Best practice guidance","Client satisfaction score >4.5/5",Advanced consulting skills training,110000-170000
ROLE-013,Penetration Tester,Offensive Security,Mid-level,"Penetration Testing, Ethical Hacking, Vulnerability Assessment, Reporting","OSCP, CEH, GPEN",4+,"Security testing, Vulnerability identification, Remediation guidance","Penetration testing, Vulnerability scanning, Report writing","Critical vulnerability identification rate",Advanced penetration testing training,80000-120000
ROLE-014,Security Awareness Coordinator,Security Training,Mid-level,"Training Development, Communications, Psychology, Metrics Analysis","CISSP, training certifications",3+,"Security awareness training, Phishing simulation, Culture development","Training development, Awareness campaigns, Metrics analysis","Phishing click rate reduction by 75%",Security awareness training development,60000-85000
ROLE-015,Forensic Analyst,Digital Forensics,Mid-level,"Digital Forensics, Legal Procedures, Tool Proficiency, Report Writing","GCFA, GCFE, GNFA",5+,"Digital evidence collection, Forensic analysis, Legal testimony","Evidence analysis, Report writing, Tool maintenance","Evidence integrity rate 100%",Advanced digital forensics training,75000-115000
ROLE-016,Identity Security Specialist,Identity Management,Mid-level,"Identity Management, AAD, PAM, Access Reviews","Azure AD, CyberArk, SailPoint certifications",4+,"Identity architecture, Access governance, PAM implementation","Identity management, Access reviews, PAM administration","Identity-related incidents reduction by 80%",Identity security and PAM training,80000-115000
ROLE-017,Cloud Security Specialist,Cloud Security,Mid-level,"Cloud Security, CSPM, Container Security, IaC Security","Azure Security Engineer, AWS Security",4+,"Cloud security architecture, CSPM, Container security","Cloud security monitoring, Configuration review, Policy enforcement","Cloud security posture score >90%",Cloud security specialization training,85000-125000
ROLE-018,Network Security Analyst,Network Security,Mid-level,"Network Security, Firewall Management, IDS/IPS, Traffic Analysis","CCNA Security, GCIH",4+,"Network monitoring, Firewall management, Traffic analysis","Network monitoring, Rule management, Incident analysis","Network security incident detection rate >95%",Network security analysis training,70000-105000
ROLE-019,Malware Analyst,Malware Analysis,Senior,"Reverse Engineering, Malware Analysis, Sandbox Analysis, Threat Research","GREM, GIAC certifications",5+,"Malware reverse engineering, Signature development, Threat research","Malware analysis, IOC extraction, Signature development","Malware analysis turnaround time <4 hours",Advanced malware analysis training,85000-130000
ROLE-020,Security Program Manager,Program Management,Senior Management,"Program Management, Security Operations, Metrics, Leadership","PMP, CISSP, Agile certifications",7+,"Security program management, Cross-team coordination, Metrics reporting","Program coordination, Metrics analysis, Stakeholder management","Program delivery on time and budget >90%",Security program management training,115000-165000
