# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,GPU Servers,8x Dell R750xa servers,4 servers (16 GPUs),8 servers (32 GPUs),16 servers (64 GPUs),Dell R750xa with 4x A100 40GB per server
Solution Scope,AI Workload Type,Distributed training,Single-GPU training,Multi-GPU training,Large-scale distributed,Training complexity and model parallelism
Integration,Data Science Team Size,20 data scientists,10-15 users,20-30 users,40+ users,Concurrent GPU access and job scheduling
Integration,Storage Infrastructure,200 TB NetApp storage,100 TB,200 TB,500 TB,NVMe all-flash for datasets and checkpoints
Data Volume,Training Datasets,Multi-TB datasets,50-100 TB,100-300 TB,500+ TB,Dataset storage and streaming requirements
Data Volume,Model Checkpointing,Regular checkpointing,Daily,Hourly,Continuous,Storage I/O and capacity impact
Technical Environment,Network Fabric,100 GbE Ethernet,1 GbE,100 GbE RDMA,InfiniBand,Multi-node distributed training performance
Technical Environment,Datacenter Readiness,Standard datacenter,Existing racks,Minor upgrades,Major buildout,80 kW power and cooling infrastructure
Technical Environment,Deployment Model,On-premises datacenter,Colocation,On-prem datacenter,Hybrid cloud,Physical deployment location
Security & Compliance,Data Classification,Proprietary models,Internal use,Confidential,Highly restricted,Model and dataset protection requirements
Security & Compliance,Compliance Requirements,Standard security,Basic controls,SOC2,HIPAA + SOC2,Regulatory frameworks for AI workloads
Performance,GPU Utilization Target,80% utilization,60%+ baseline,80% optimized,90%+ with advanced scheduling,Resource efficiency and ROI
Performance,Training Time Requirements,Hours to days,Weeks acceptable,Days required,Hours critical,Time-to-insight business impact
Environment,Software Stack,NVIDIA AI Enterprise,NGC containers only,AI Enterprise + Kubeflow,Custom platform + support,Software licensing and MLOps complexity
Environment,Management Platform,Kubernetes with GPU Operator,Manual scheduling,Kubernetes + MLOps,Run:ai or DGX Platform,Cluster orchestration complexity

# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (AI Requirements, Workload Analysis, Infrastructure Assessment, Team Planning)"
Planning,PLANNING_MX,1,"All Planning phase tasks (Cluster Architecture, Network Design, Storage Design, MLOps Platform)"
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Server Installation, Kubernetes Deployment, GPU Operator, Storage Setup, MLOps Tools)"
Testing,TESTING_MX,1,"All Testing phase tasks (System Validation, Network Testing, Workload Testing, Performance Tuning)"
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Handoff, User Onboarding, Production Workloads)"
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, Data Scientist Training, Documentation)"
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)"
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Technical Leadership overhead - 10% of actual engineering hours

# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Development,NGC Container Integration,Deploy NGC GPU-accelerated containers for PyTorch TensorFlow and RAPIDS,EO Engineer,32,='Estimate Settings'!$C$5,=$E51*$F51,$200,"=TEXT($G51*$H51,""$#,##0"")",GPU Operator Setup,AI framework containers and GPU-optimized libraries
Development,Kubeflow Deployment,Deploy Kubeflow platform for ML pipelines and experiment tracking,EO Engineer,48,='Estimate Settings'!$C$5,=$E52*$F52,$225,"=TEXT($G52*$H52,""$#,##0"")",NGC Container Integration,Kubeflow pipelines notebooks and Katib hyperparameter tuning
Development,Triton Inference Setup,Deploy Triton Inference Server for production model serving,EO Engineer,32,='Estimate Settings'!$C$5,=$E53*$F53,$200,"=TEXT($G53*$H53,""$#,##0"")",Kubeflow Deployment,Model repository configuration and inference optimization
Development,Monitoring Setup,Configure Prometheus Grafana for GPU utilization and job metrics,EO Engineer,24,='Estimate Settings'!$C$5,=$E54*$F54,$175,"=TEXT($G54*$H54,""$#,##0"")",Triton Inference Setup,GPU dashboards alert rules and performance monitoring
Development,Security Configuration,Configure RBAC network policies and access controls,EO Engineer,24,='Estimate Settings'!$C$5,=$E55*$F55,$200,"=TEXT($G55*$H55,""$#,##0"")",Monitoring Setup,Kubernetes security user authentication and resource quotas
Testing,System Validation,Validate GPU servers A100 health and hardware functionality,EO Engineer,24,='Estimate Settings'!$C$6,=$E56*$F56,$175,"=TEXT($G56*$H56,""$#,##0"")",Security Configuration,GPU diagnostics memory tests and system health verification
Testing,Network Performance,Test 100 GbE throughput and RDMA performance,EO Engineer,16,='Estimate Settings'!$C$6,=$E57*$F57,$200,"=TEXT($G57*$H57,""$#,##0"")",System Validation,NCCL bandwidth tests and multi-node communication validation
Testing,Storage Performance,Test NetApp storage throughput IOPS and NFS performance,EO Engineer,16,='Estimate Settings'!$C$6,=$E58*$F58,$175,"=TEXT($G58*$H58,""$#,##0"")",Network Performance,Dataset streaming tests checkpoint I/O and read/write benchmarks
Testing,Workload Benchmarking,Run AI/ML benchmark workloads to validate training performance,EO Engineer,32,='Estimate Settings'!$C$6,=$E59*$F59,$200,"=TEXT($G59*$H59,""$#,##0"")",Storage Performance,Customer must provide representative training workloads for validation
Testing,Performance Tuning,Optimize GPU utilization Kubernetes scheduling and NCCL settings,EO Engineer,24,='Estimate Settings'!$C$6,=$E60*$F60,$225,"=TEXT($G60*$H60,""$#,##0"")",Workload Benchmarking,Tune GPU affinity NCCL parameters and Kubernetes resource limits
Deployment,Production Handoff,Transition GPU cluster to production with monitoring and support,EO Engineer,16,='Estimate Settings'!$C$7,=$E61*$F61,$200,"=TEXT($G61*$H61,""$#,##0"")",Performance Tuning,Production readiness validation and operational procedures documentation
Deployment,User Onboarding,Onboard data science teams with Kubernetes namespace and GPU quota setup,EO Engineer,24,='Estimate Settings'!$C$7,=$E62*$F62,$150,"=TEXT($G62*$H62,""$#,##0"")",Production Handoff,User account setup resource allocation and initial job submission support
Deployment,Production Workload Migration,Migrate initial training workloads to GPU cluster,EO Engineer,32,='Estimate Settings'!$C$7,=$E63*$F63,$175,"=TEXT($G63*$H63,""$#,##0"")",User Onboarding,Assist with first production model training jobs and troubleshooting
Training,Administrator Training,Train IT administrators on Kubernetes cluster management and GPU operations,EO Engineer,24,='Estimate Settings'!$C$8,=$E64*$F64,$200,"=TEXT($G64*$H64,""$#,##0"")",Production Handoff,Kubernetes administration GPU monitoring and troubleshooting
Training,Data Scientist Training,Train data scientists on Kubeflow GPU job submission and best practices,EO Engineer,32,='Estimate Settings'!$C$8,=$E65*$F65,$175,"=TEXT($G65*$H65,""$#,##0"")",Administrator Training,Distributed training multi-GPU jobs and MLOps workflows
Training,Documentation,Create technical documentation runbooks and operational procedures,EO Engineer,32,='Estimate Settings'!$C$8,=$E66*$F66,$150,"=TEXT($G66*$H66,""$#,##0"")",Data Scientist Training,Deliverable: Operations runbook troubleshooting guides and user documentation
Closeout,Knowledge Transfer,Transfer GPU cluster ownership to client infrastructure team,EO Engineer,16,='Estimate Settings'!$C$9,=$E67*$F67,$200,"=TEXT($G67*$H67,""$#,##0"")",Documentation,Comprehensive handover including architecture Kubernetes GPU management
Closeout,Performance Baseline,Establish GPU utilization metrics and performance monitoring baselines,EO Engineer,16,='Estimate Settings'!$C$9,=$E68*$F68,$175,"=TEXT($G68*$H68,""$#,##0"")",Knowledge Transfer,Establishes GPU efficiency KPIs training throughput and cost-per-job metrics
Management,Technical Leadership,NVIDIA GPU infrastructure technical oversight and architecture review,EO Quarterback,"=ROUND(SUM($G$3:$G$37)*0.10,0)",='Estimate Settings'!$C$11,=$E69*$F69,$225,"=TEXT($G69*$H69,""$#,##0"")",,GPU cluster expertise Kubernetes optimization and technical escalation
Management,Project Management,Project coordination planning and stakeholder management,EO Project Manager,"=ROUND(SUM($G$3:$G$37)*0.10,0)",='Estimate Settings'!$C$10,=$E70*$F70,$175,"=TEXT($G70*$H70,""$#,##0"")",,Includes weekly status Dell/NVIDIA coordination and risk management
,,,,,TOTAL HOURS,"=SUM($G$3:$G$37)",TOTAL COST,"=TEXT(SUMPRODUCT($G$3:$G$37,$H$3:$H$37),""$#,##0"")",,EO Sales Engineer: Update phase multipliers in Estimate Settings based on cluster deployment scope

# Credits - Applied to Total Cost (Year 1 Only)
#WIDTH: 27,17,100
#ALIGN: left,right,left
Credit Type,Credit Amount,Credit Comments
NVIDIA Partner Services Credit,"($10000)",NVIDIA Partner Network credit for GPU cluster deployment and AI Enterprise integration
Implementation Discount,$0,No implementation discount applicable
NET PROFESSIONAL SERVICES COST,"=SUMPRODUCT($G$3:$G$37,$H$3:$H$37)-10000",Total Cost minus NVIDIA Partner credits
