#WIDTH:  45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN:  left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
security.storm_control_enabled,Security,true,false,true,Enable broadcast storm control,Yes,Boolean,true|false,Public,Security Team,,Prevent broadcast storms,2025-12-03
security.storm_control_level,Security,10,10,10,Storm control threshold percentage,Yes,Integer,1-100,Public,Security Team,,Broadcast/multicast/unicast,2025-12-03
security.mac_limit_per_port,Security,100,1000,100,Maximum MAC addresses per port,Yes,Integer,10-1000,Public,Security Team,,Prevent MAC flooding,2025-12-03
operations.config_backup_schedule,Operations,Daily 02:00,Weekly,Daily 02:00,Switch configuration backup schedule,Yes,String,Valid schedule,Public,IT Operations,,Daily config backups,2025-12-03
operations.config_backup_retention,Operations,30,7,30,Configuration backup retention days,Yes,Integer,7-365,Public,IT Operations,,30 day retention,2025-12-03
operations.ansible_automation,Automation,true,true,true,Enable Ansible automation,Yes,Boolean,true|false,Public,Network Team,,Playbook-driven config,2025-12-03
support.dell_prosupport_level,Support,Mission Critical,ProSupport,Mission Critical,Dell ProSupport tier,Yes,String,Basic|ProSupport|Mission Critical,Confidential,Support Team,,24x7 with 2-hour response,2025-12-03
dr.enabled,DR,false,false,true,Enable DR configuration,Yes,Boolean,true|false,Public,Operations,,DR site flag,2025-12-03
dr.purpose,DR,primary,lab,standby,Site purpose designation,Yes,String,primary|lab|standby,Public,Operations,,DR role,2025-12-03
dr.failover_mode,DR,n/a,n/a,manual,Failover mode,Yes,String,manual|automatic,Public,Operations,,Manual for safety,2025-12-03
