Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
TECH-008,Technical Requirements,CI/CD Platform,What CI/CD platform do you use?,"Platforms: GitHub Actions, Jenkins, GitLab CI, CircleCI, Azure DevOps, TeamCity","",Integration and workflow automation
TECH-009,Technical Requirements,Deployment Frequency,How often do you deploy to production?,"Options: Multiple times per day, Daily, Weekly, Monthly","",Scan frequency and automation requirements
TECH-010,Technical Requirements,Branch Strategy,What branching strategy do you follow?,"Strategies: GitHub Flow, Git Flow, Trunk-based development","",Security checkpoint and PR integration
TECH-011,Technical Requirements,Dependency Management,What package managers do you use?,"Managers: npm, pip, Maven, NuGet, RubyGems, Go modules, Composer","",Dependency scanning configuration
TECH-012,Technical Requirements,Dependency Count,How many third-party dependencies do you use per application?,"Typical ranges: 10-50, 50-200, 200-500, 500+","",Software composition analysis scope
TECH-013,Technical Requirements,Custom CodeQL,Do you need custom CodeQL queries for your security policies?,"Examples: Company-specific patterns, framework-specific rules, business logic bugs","",Custom query development requirements
TECH-014,Technical Requirements,Security Policies,What security policies need enforcement in pull requests?,"Examples: Critical vulnerabilities block merge, require security reviews, dependency version constraints","",Policy configuration and enforcement
SEC-001,Security & Compliance,Vulnerability Types,What vulnerability types are most critical for your organization?,"Common CWEs: SQL injection, XSS, CSRF, authentication bypass, path traversal, deserialization","",Security scanning priorities
SEC-002,Security & Compliance,Secret Types,What types of secrets appear in your code?,"Secret types: API keys, AWS credentials, database passwords, GitHub tokens, SSH keys, certificates","",Secret scanning configuration
SEC-003,Security & Compliance,Secret Remediation,How do you handle secrets detected in code?,"Options: Immediate revocation, Alert developer, Security team review, Automated rotation","",Secret leak response workflow
SEC-004,Security & Compliance,Dependency Vulnerabilities,What severity levels require immediate action?,"Severity: Critical, High, Medium, Low - define SLAs for each","",Vulnerability management and SLA
SEC-005,Security & Compliance,Security Team,What is your security team structure?,"Roles: AppSec engineers, Security champions, CISO, SOC analysts","",Security team roles and responsibilities
SEC-006,Security & Compliance,Security Training,Do developers receive security training?,"Topics: OWASP Top 10, secure coding, vulnerability remediation","",Developer security awareness level
SEC-007,Security & Compliance,Audit Requirements,What audit and reporting requirements do you have?,"Requirements: Vulnerability reports, Audit logs, Compliance dashboards, Executive summaries","",Reporting and compliance needs
SEC-008,Security & Compliance,Data Classification,What is the highest data classification in your applications?,"Levels: Public, Internal, Confidential, Restricted/Regulated","",Risk level and compliance requirements
OPS-001,Operations & Support,Code Scanning Frequency,How often should code scanning run?,"Options: Every commit, Every pull request, Daily, Weekly","",Scan automation and frequency
OPS-002,Operations & Support,Scan Duration,What is acceptable scan duration for pull requests?,"Typical ranges: 5-15 minutes, 15-30 minutes, 30-60 minutes","",CI/CD performance requirements
OPS-003,Operations & Support,Alert Management,How should security alerts be managed?,"Options: GitHub Security tab, Email notifications, Slack/Teams integration, SIEM integration","",Notification and alert routing
OPS-004,Operations & Support,Vulnerability Triage,What is your vulnerability triage process?,"Process: Security team review, assign to developers, track in Jira/GitHub Issues, verify fix","",Workflow and issue management
OPS-005,Operations & Support,False Positives,How will you handle false positive alerts?,"Options: Dismiss with justification, Custom CodeQL suppressions, Severity adjustment","",Alert quality and noise reduction
OPS-006,Operations & Support,Pull Request Blocking,Should security findings block pull request merges?,"Options: Block on critical, Block on high+, Advisory only, Custom policy","",Merge protection and enforcement
OPS-007,Operations & Support,Remediation SLA,What are your SLAs for fixing vulnerabilities?,"Example SLAs: Critical - 24 hours, High - 7 days, Medium - 30 days, Low - 90 days","",Vulnerability management timelines
OPS-008,Operations & Support,Monitoring,What security metrics do you need to track?,"Metrics: Vulnerabilities by severity, MTTR, Scan coverage, Dependency freshness, Secret leak count","",Security dashboard and KPIs
OPS-009,Operations & Support,Reporting Frequency,How often do you need security reports?,"Options: Real-time dashboard, Daily, Weekly, Monthly executive summary","",Reporting cadence for stakeholders
OPS-010,Operations & Support,Integration Requirements,What systems need integration with GHAS?,"Systems: JIRA, ServiceNow, Slack, PagerDuty, Splunk, Azure Sentinel","",Third-party integrations
INT-001,Integration Requirements,CI/CD Integration,Do you use GitHub Actions for CI/CD?,"If yes, security scanning can be fully automated in workflows","",GitHub Actions workflow automation
INT-002,Integration Requirements,Issue Tracking,What issue tracking system do you use?,"Systems: GitHub Issues, JIRA, Azure Boards, ServiceNow","",Vulnerability tracking integration
INT-003,Integration Requirements,SIEM Integration,Do you need SIEM integration for security events?,"SIEM platforms: Splunk, Azure Sentinel, Datadog, Sumo Logic","",Security event aggregation
INT-004,Integration Requirements,Notification Channels,What notification channels do you use?,"Channels: Email, Slack, Microsoft Teams, PagerDuty, Webhooks","",Alert delivery mechanisms
MIG-001,Migration Requirements,Existing Tools,What security tools will GHAS replace?,"Tools: Snyk, Checkmarx, Veracode, SonarQube - plan migration and comparison","",Tool migration and transition
MIG-002,Migration Requirements,Historical Data,Do you need to import historical security findings?,"Options: Fresh start, Import open vulnerabilities, Full historical import","",Data migration requirements
MIG-003,Migration Requirements,Rollout Strategy,What is your preferred rollout approach?,"Strategies: Pilot with 1-2 repos, Phased by team, All repos at once","",Implementation and adoption strategy
MIG-004,Migration Requirements,Pilot Repositories,Which repositories will you pilot GHAS on first?,"Select representative repos with different languages and complexity","",Pilot selection and validation
TRAIN-001,Training Requirements,Security Champion Training,Who will be trained as security champions?,"Identify 1-2 champions per team to lead GHAS adoption","",Security champion program
TRAIN-002,Training Requirements,Developer Training,What training do developers need?,"Topics: GHAS overview, Interpreting alerts, Fixing vulnerabilities, CodeQL basics","",Developer enablement and adoption
TRAIN-003,Training Requirements,Administrator Training,Who will administer GHAS policies and configurations?,"Roles: Security team, Platform team, DevOps","",Administrative training requirements
