#WIDTH: 45,14,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
security.enable_guardduty,Security,true,false,true,Enable Amazon GuardDuty threat detection,Yes,Boolean,true|false,Public,Security Team,,Threat detection,2025-12-03
security.enable_cloudtrail,Security,true,false,false,Enable CloudTrail API logging,Yes,Boolean,true|false,Public,Security Team,,API audit trail,2025-12-03
security.cloudtrail_retention_days,Security,365,30,365,CloudTrail log retention (days),Yes,Integer,Positive integer (days),Public,Security Team,,Audit requirements,2025-12-03
security.sso_enabled,Security,true,true,true,Enable SSO/SAML authentication,Yes,Boolean,true|false,Public,Security Team,,Enterprise SSO,2025-12-03
security.mfa_required,Security,true,true,true,Require multi-factor authentication,Yes,Boolean,true|false,Public,Security Team,,MFA enforcement,2025-12-03
integration.github_org,VCS Integration,client-org,client-org,client-org,GitHub organization name,Yes,String,Valid org name,Public,Platform Team,,Enterprise or Cloud,2025-12-03
integration.github_vcs_enabled,VCS Integration,true,true,true,Enable GitHub VCS integration,Yes,Boolean,true|false,Public,Platform Team,,GitOps workflows,2025-12-03
integration.slack_enabled,Notifications,true,false,true,Enable Slack notifications,Yes,Boolean,true|false,Public,Operations Team,,Run notifications,2025-12-03
integration.pagerduty_enabled,Notifications,true,false,true,Enable PagerDuty integration,Yes,Boolean,true|false,Public,Operations Team,,Critical alerts,2025-12-03
integration.servicenow_enabled,Integration,true,false,false,Enable ServiceNow integration,Yes,Boolean,true|false,Public,Integration Team,,Change management,2025-12-03
monitoring.enable_dashboard,Monitoring,true,true,true,Create CloudWatch dashboard,Yes,Boolean,true|false,Public,Operations Team,,Platform KPIs,2025-12-03
monitoring.log_retention_days,Monitoring,90,7,90,CloudWatch log retention (days),Yes,Integer,Positive integer (days),Public,Operations Team,,Audit requirements,2025-12-03
monitoring.enable_xray_tracing,Monitoring,true,false,true,Enable AWS X-Ray tracing,Yes,Boolean,true|false,Public,Operations Team,,Distributed tracing,2025-12-03
monitoring.datadog_enabled,Monitoring,true,false,true,Enable Datadog integration,Yes,Boolean,true|false,Public,Operations Team,,Advanced monitoring,2025-12-03
backup.enabled,Backup,true,false,true,Enable AWS Backup,Yes,Boolean,true|false,Public,Operations Team,,From backup object,2025-12-03
backup.daily_retention,Backup,30,7,30,Daily backup retention (days),Yes,Integer,Positive integer (days),Public,Operations Team,,Daily snapshots,2025-12-03
backup.weekly_retention,Backup,90,0,90,Weekly backup retention (days),Yes,Integer,Positive integer (days),Public,Operations Team,,Weekly snapshots,2025-12-03
backup.monthly_retention,Backup,365,0,365,Monthly backup retention (days),Yes,Integer,Positive integer (days),Public,Operations Team,,Long-term retention,2025-12-03
backup.enable_cross_region,Backup,true,false,false,Enable cross-region backup copy,Yes,Boolean,true|false,Public,Operations Team,,DR backups,2025-12-03
dr.enabled,DR,true,false,true,Enable DR infrastructure,Yes,Boolean,true|false,Public,Operations Team,,Disaster recovery,2025-12-03
dr.strategy,DR,ACTIVE_PASSIVE,BACKUP_ONLY,ACTIVE_PASSIVE,DR strategy,Yes,String,ACTIVE_PASSIVE|ACTIVE_ACTIVE|BACKUP_ONLY,Public,Operations Team,,Recovery approach,2025-12-03
dr.rto_minutes,DR,240,480,240,Recovery Time Objective (minutes),Yes,Integer,Positive integer,Public,Operations Team,,Target recovery time,2025-12-03
dr.rpo_minutes,DR,60,1440,60,Recovery Point Objective (minutes),Yes,Integer,Positive integer,Public,Operations Team,,Max data loss window,2025-12-03
dr.failover_mode,DR,manual,manual,manual,Failover mode,Yes,String,manual|automatic,Public,Operations Team,,Manual for safety,2025-12-03
dr.replication_enabled,DR,true,false,false,Enable cross-region replication,Yes,Boolean,true|false,Public,Operations Team,,S3 and RDS replication,2025-12-03
budget.enabled,Budget,true,false,true,Enable AWS Budgets,Yes,Boolean,true|false,Public,Finance,,Cost governance,2025-12-03
budget.monthly_amount,Budget,10000,2000,5000,Monthly budget limit (USD),Yes,Integer,Valid integer,Public,Finance,,Budget threshold,2025-12-03
budget.alert_thresholds,Budget,"[50, 80, 100]","[80, 100]","[50, 80, 100]",Budget alert threshold percentages,Yes,List(Number),Percentage (0-100),Public,Finance,,Alert levels,2025-12-03
budget.forecast_threshold,Budget,100,100,100,Forecast alert threshold (%),Yes,Integer,Percentage (0-100),Public,Finance,,Predictive alert,2025-12-03
