Planning,Email Migration,Migrate email from commercial or on-premises to GCC High,EO Engineer,16,='Estimate Settings'!$C$4,=$E40*$F40,$160,"=TEXT($G40*$H40,""$#,##0"")",SharePoint Teams Deployment,100GB mailbox migration with zero data loss
Development,Azure Government Infrastructure,Deploy Azure Government VMs storage networking,EO Engineer,40,='Estimate Settings'!$C$5,=$E41*$F41,$180,"=TEXT($G41*$H41,""$#,##0"")",Azure Government Design,5 VMs 2TB storage VNet ExpressRoute deployment
Development,CAC/PIV Authentication,Implement CAC/PIV smart card authentication with Azure AD,EO Engineer,32,='Estimate Settings'!$C$5,=$E42*$F42,$190,"=TEXT($G42*$H42,""$#,##0"")",Azure Government Infrastructure,DoD smart card integration with conditional access
Development,Sentinel SIEM Deployment,Deploy Sentinel SIEM with 100GB/month log ingestion,EO Engineer,40,='Estimate Settings'!$C$5,=$E43*$F43,$185,"=TEXT($G43*$H43,""$#,##0"")",CAC/PIV Authentication,Security monitoring and incident response playbooks
Development,Defender for Cloud,Deploy Defender for Cloud with CMMC compliance monitoring,EO Engineer,24,='Estimate Settings'!$C$5,=$E44*$F44,$180,"=TEXT($G44*$H44,""$#,##0"")",Sentinel SIEM Deployment,Compliance posture management and vulnerability assessment
Development,Microsoft Purview,Implement Purview for DLP information protection and retention,EO Engineer,24,='Estimate Settings'!$C$5,=$E45*$F45,$175,"=TEXT($G45*$H45,""$#,##0"")",Defender for Cloud,Data loss prevention and compliance policies
Testing,NIST Control Testing,Validate all 110 NIST 800-171 security requirements,EO Engineer,40,='Estimate Settings'!$C$6,=$E46*$F46,$170,"=TEXT($G46*$H46,""$#,##0"")",Microsoft Purview,Automated and manual testing of security controls
Testing,Security Assessment,Conduct vulnerability scanning and penetration testing,EO Engineer,24,='Estimate Settings'!$C$6,=$E47*$F47,$190,"=TEXT($G47*$H47,""$#,##0"")",NIST Control Testing,External threat simulation and insider threat testing
Testing,Compliance Audit,Internal compliance audit against CMMC Level 2 requirements,EO Engineer,32,='Estimate Settings'!$C$6,=$E48*$F48,$185,"=TEXT($G48*$H48,""$#,##0"")",Security Assessment,Validate all controls before C3PAO assessment
Deployment,System Security Plan,Develop SSP documenting GCC High and Azure Gov architecture,EO Engineer,24,='Estimate Settings'!$C$7,=$E49*$F49,$175,"=TEXT($G49*$H49,""$#,##0"")",Compliance Audit,CMMC documentation and evidence artifacts
Deployment,C3PAO Assessment,Support C3PAO assessment and finding remediation,EO Engineer,40,='Estimate Settings'!$C$7,=$E50*$F50,$180,"=TEXT($G50*$H50,""$#,##0"")",System Security Plan,Independent CMMC Level 2 assessment support
Deployment,CMMC Certification,Complete certification and DoD contract enablement,EO Engineer,16,='Estimate Settings'!$C$7,=$E51*$F51,$150,"=TEXT($G51*$H51,""$#,##0"")",C3PAO Assessment,Final certification approval and documentation
Training,ISSO/ISSM Training,Train CMMC compliance lead on control management,EO Engineer,16,='Estimate Settings'!$C$8,=$E52*$F52,$160,"=TEXT($G52*$H52,""$#,##0"")",CMMC Certification,NIST 800-171 control management and recertification
Training,Security Operations Training,Train security team on Sentinel and Defender operations,EO Engineer,16,='Estimate Settings'!$C$8,=$E53*$F53,$150,"=TEXT($G53*$H53,""$#,##0"")",ISSO/ISSM Training,SIEM monitoring and incident response procedures
Training,Documentation,Create operations runbook and CMMC maintenance procedures,EO Engineer,16,='Estimate Settings'!$C$8,=$E54*$F54,$140,"=TEXT($G54*$H54,""$#,##0"")",Security Operations Training,Ongoing compliance management documentation
Closeout,Knowledge Transfer,Transfer CMMC compliance ownership to client team,EO Engineer,16,='Estimate Settings'!$C$9,=$E55*$F55,$150,"=TEXT($G55*$H55,""$#,##0"")",Documentation,Comprehensive handover of CMMC operations
Closeout,Compliance Monitoring Setup,Establish continuous compliance monitoring and reporting,EO Engineer,8,='Estimate Settings'!$C$9,=$E56*$F56,$140,"=TEXT($G56*$H56,""$#,##0"")",Knowledge Transfer,Ongoing NIST 800-171 control monitoring setup
Management,Technical Leadership,Quarterback technical oversight and CMMC architecture review,EO Quarterback,"=ROUND(SUM($G$33:$G$56)*0.10,0)",='Estimate Settings'!$C$12,=$E57*$F57,$200,"=TEXT($G57*$H57,""$#,##0"")",,CMMC compliance architecture and C3PAO coordination
Management,Project Management,Project coordination and C3PAO assessment management,EO Project Manager,"=ROUND(SUM($G$33:$G$56)*0.10,0)",='Estimate Settings'!$C$11,=$E58*$F58,$150,"=TEXT($G58*$H58,""$#,##0"")",,Stakeholder coordination and certification timeline management
,,,,,TOTAL HOURS,"=SUM($G$33:$G$58)",TOTAL COST,"=TEXT(SUMPRODUCT($G$33:$G$58,$H$33:$H$58),""$#,##0"")",,EO Sales Engineer: Update phase multipliers based on CMMC scope complexity

# Credits - Applied to Total Cost (Year 1 Only)
#WIDTH: 27,17,100
#ALIGN: left,right,left
Credit Type,Credit Amount,Credit Comments
Microsoft Partner Services Credit,$0,No Microsoft partner credits available for government licensing (GCC High)
Implementation Discount,$0,No implementation discount applicable
NET PROFESSIONAL SERVICES COST,"=SUMPRODUCT($G$33:$G$58,$H$33:$H$58)",Total Cost - no credits available for GCC High government licensing
