#WIDTH: 45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
network.jumbo_frames_mtu,Network,9000,9000,9000,MTU size for jumbo frames,Yes,Integer,1500-9216,Public,Network,,Required for NFS performance,2025-12-03
network.dns_server_1,Network,[dns1.domain.com],[dns1.domain.com],[dns1.domain.com],Primary DNS server,Yes,String,Valid IP or FQDN,Confidential,Network,,Name resolution,2025-12-03
network.dns_server_2,Network,[dns2.domain.com],[dns2.domain.com],[dns2.domain.com],Secondary DNS server,Yes,String,Valid IP or FQDN,Confidential,Network,,Name resolution backup,2025-12-03
network.ntp_server,Network,[ntp.domain.com],[ntp.domain.com],[ntp.domain.com],NTP server address,Yes,String,Valid FQDN,Public,Network,,Time synchronization,2025-12-03
software.os_version,Software,Ubuntu 22.04 LTS,Ubuntu 22.04 LTS,Ubuntu 22.04 LTS,Operating system version,Yes,String,Valid Ubuntu version,Public,Systems,,Long-term support release,2025-12-03
software.os_codename,Software,jammy,jammy,jammy,Ubuntu codename,Yes,String,Valid codename,Public,Systems,,Package repository identifier,2025-12-03
software.nvidia_driver_version,Software,535.86.05,535.86.05,535.86.05,NVIDIA driver version,Yes,String,Valid driver version,Public,Systems,,Tested with Ubuntu 22.04,2025-12-03
software.cuda_version,Software,12.2,12.2,12.2,NVIDIA CUDA toolkit version,Yes,String,Valid CUDA version,Public,ML Engineering,,PyTorch TensorFlow compatible,2025-12-03
software.cudnn_version,Software,8.9,8.9,8.9,NVIDIA cuDNN library version,Yes,String,Valid cuDNN version,Public,ML Engineering,,Deep learning optimization,2025-12-03
software.pytorch_version,Software,2.1,2.1,2.1,PyTorch framework version,Yes,String,Valid PyTorch version,Public,Data Science,,Primary ML framework,2025-12-03
software.tensorflow_version,Software,2.14,2.14,2.14,TensorFlow framework version,Yes,String,Valid TF version,Public,Data Science,,Secondary ML framework,2025-12-03
software.conda_version,Software,23.10,23.10,23.10,Miniconda package manager version,Yes,String,Valid Conda version,Public,Data Science,,Environment management,2025-12-03
application.jupyter_port,Application,8888,8888,8888,Default port for Jupyter Lab server,Yes,Integer,1024-65535,Public,Data Science,,Access via SSH tunnel,2025-12-03
application.jupyter_base_url,Application,/jupyter,/jupyter,/jupyter,Jupyter Lab base URL,Yes,String,Valid URL path,Public,Data Science,,URL path prefix,2025-12-03
application.tensorboard_port,Application,6006,6006,6006,TensorBoard web UI port,Yes,Integer,1024-65535,Public,Data Science,,Training visualization,2025-12-03
monitoring.datadog_enabled,Monitoring,true,true,true,Enable Datadog monitoring,Yes,Boolean,true|false,Public,Operations,,Agent deployment,2025-12-03
monitoring.datadog_site,Monitoring,datadoghq.com,datadoghq.com,datadoghq.com,Datadog site for data ingestion,Yes,String,Valid Datadog site,Public,Operations,,US or EU site,2025-12-03
monitoring.gpu_temp_alert_c,Monitoring,80,80,80,GPU temperature threshold for alerts,Yes,Integer,60-90,Public,Operations,,Alert before throttling,2025-12-03
monitoring.gpu_util_target_pct,Monitoring,80,70,80,Target GPU utilization percentage,Yes,Integer,50-100,Public,Operations,,80% per SOW target,2025-12-03
monitoring.disk_usage_alert_pct,Monitoring,85,85,85,Disk usage alert threshold,Yes,Integer,70-95,Public,Operations,,Storage capacity warning,2025-12-03
security.ssh_port,Security,22,22,22,SSH server port for remote access,Yes,Integer,1-65535,Public,Security,,Standard SSH port,2025-12-03
security.ssh_key_type,Security,ed25519,ed25519,ed25519,SSH key algorithm for authentication,Yes,String,rsa|ed25519|ecdsa,Public,Security,,Modern secure algorithm,2025-12-03
security.firewall_enabled,Security,true,true,true,Enable host firewall,Yes,Boolean,true|false,Public,Security,,UFW configuration,2025-12-03
security.admin_group,Security,ai-admins,ai-admins,ai-admins,Linux group for administrator access,Yes,String,Valid group name,Confidential,Security,,Sudo access granted,2025-12-03
security.user_group,Security,data-scientists,data-scientists,data-scientists,Linux group for data scientist access,Yes,String,Valid group name,Confidential,Security,,Standard user access,2025-12-03
security.user_quota_tb,Security,10,5,10,Default storage quota per user in TB,Yes,Integer,1-50,Public,Storage,,Adjustable per user,2025-12-03
operations.backup_enabled,Operations,true,true,true,Enable automated backups,Yes,Boolean,true|false,Public,Storage,,PowerScale snapshots,2025-12-03
operations.backup_retention_days,Operations,30,7,30,PowerScale snapshot retention in days,Yes,Integer,7-365,Public,Storage,,Balance cost and recovery,2025-12-03
operations.snapshot_frequency_hours,Operations,4,12,4,PowerScale snapshot frequency in hours,Yes,Integer,1-24,Public,Storage,,4-hour RPO achieved,2025-12-03
operations.auto_updates_enabled,Operations,false,true,false,Enable automatic OS updates,Yes,Boolean,true|false,Public,Systems,,Manual updates in prod,2025-12-03
operations.update_day,Operations,Sunday,Sunday,Sunday,Scheduled update day,Yes,String,Valid day,Public,Systems,,Maintenance window,2025-12-03
operations.update_time,Operations,02:00,02:00,02:00,Scheduled update time,Yes,String,Valid time,Public,Systems,,Off-hours maintenance,2025-12-03
support.dell_prosupport_level,Support,ProSupport Plus,ProSupport,ProSupport Plus,Dell ProSupport tier,Yes,String,Basic|ProSupport|ProSupport Plus,Confidential,Support,,24x7 with 4-hour response,2025-12-03
support.response_time,Support,Next Business Day,Next Business Day,Next Business Day,Support response SLA,Yes,String,Valid SLA,Public,Support,,Hardware support SLA,2025-12-03
performance.target_gpu_util_pct,Performance,80,70,80,Target GPU utilization percentage,Yes,Integer,50-100,Public,Operations,,From SOW metrics,2025-12-03
performance.target_nvme_read_mbps,Performance,7000,7000,7000,Target NVMe read speed in MB/s,Yes,Integer,3000-7500,Public,Operations,,Performance benchmark,2025-12-03
performance.target_powerscale_mbps,Performance,1000,500,1000,Target PowerScale aggregate throughput,Yes,Integer,100-10000,Public,Operations,,Network bandwidth,2025-12-03
dr.enabled,DR,false,false,true,Enable DR configuration,Yes,Boolean,true|false,Public,Operations,,DR site flag,2025-12-03
dr.purpose,DR,primary,lab,standby,Site purpose designation,Yes,String,primary|lab|standby,Public,Operations,,DR role,2025-12-03
dr.replication_enabled,DR,false,false,true,Enable storage replication,Yes,Boolean,true|false,Public,Operations,,PowerScale SyncIQ,2025-12-03
