Testing,Failover Testing,Test ISE HA failover scenarios,"=ROUND($G$12*16,0)",16,200,"=TEXT(E35*F35,""$#,##0"")",Pilot Success,Medium,Primary-secondary failover testing,,
Deployment,Production Rollout Phase 1,Deploy wired 802.1X to remaining users,"=ROUND($G$13*60,0)",60,200,"=TEXT(E36*F36,""$#,##0"")",Testing Complete,High,Phased wired authentication rollout,,
Deployment,Production Rollout Phase 2,Deploy wireless 802.1X and BYOD,"=ROUND($G$13*50,0)",50,200,"=TEXT(E37*F37,""$#,##0"")",Phase 1 Success,High,Corporate and BYOD SSIDs,,
Deployment,Guest WiFi Deployment,Enable guest access portal and workflows,"=ROUND($G$13*24,0)",24,175,"=TEXT(E38*F38,""$#,##0"")",Phase 2 Success,Medium,Guest portal and sponsor process,,
Deployment,TrustSec Enforcement,Enable TrustSec policy enforcement,"=ROUND($G$13*40,0)",40,225,"=TEXT(E39*F39,""$#,##0"")",All Rollouts,High,SGT tagging and enforcement,,
Deployment,Hypercare Support,Provide post-deployment stabilization support,"=ROUND($G$13*60,0)",60,150,"=TEXT(E40*F40,""$#,##0"")",Deployment Complete,Medium,4-week hypercare period,,
Training,Administrator Training,Train ISE administrators on operations,"=ROUND($G$14*24,0)",24,175,"=TEXT(E41*F41,""$#,##0"")",Deployment,Low,Policy management and troubleshooting,,
Training,Helpdesk Training,Train helpdesk on user support and issues,"=ROUND($G$14*16,0)",16,150,"=TEXT(E42*F42,""$#,##0"")",Admin Training,Low,User authentication and BYOD support,,
Training,Documentation,Create runbooks user guides and SOPs,"=ROUND($G$14*32,0)",32,150,"=TEXT(E43*F43,""$#,##0"")",,Low,Operational procedures and guides,,
Closeout,Knowledge Transfer,Transfer ISE solution to operations team,"=ROUND($G$15*16,0)",16,175,"=TEXT(E44*F44,""$#,##0"")",Training Complete,Low,Operational handoff and escalation,,
Closeout,Performance Baseline,Establish authentication metrics and KPIs,"=ROUND($G$15*16,0)",16,175,"=TEXT(E45*F45,""$#,##0"")",Hypercare,Low,Authentication success rate and SLA,,
Management,Technical Leadership,Technical quarterback and architecture oversight,"=ROUND(SUM(E17:E45)*$G$16,0)","=ROUND(SUM(E17:E45)*0.25,0)",225,"=TEXT(E46*F46,""$#,##0"")",,Medium,25% of total engineering effort,,
Management,Project Management,Project coordination and stakeholder management,"=ROUND(SUM(E17:E45)*0.20,0)","=ROUND(SUM(E17:E45)*0.20,0)",175,"=TEXT(E47*F47,""$#,##0"")",,Low,20% of total engineering effort,,
,,,TOTAL HOURS,"=SUM(E17:E47)",TOTAL COST,"=TEXT(SUM(G17:G47),""$#,##0"")",,,Total ISE Secure Access implementation cost,,
# CREDITS
#WIDTH: 25,28,18,60
#ALIGN: left,left,right,left
Category,Credit Type,Credit Amount,Credit Comments
Software,ISE License Promotion,"($10000)",Year 1 ISE Plus license 20% discount promotion
Hardware,Appliance Trade-In,$0,No hardware trade-in available
Professional Services,Implementation Services,$0,No professional services credits available
Support & Maintenance,Support Credit,$0,No support renewal credits available
