Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
CHECKPOINT_STORAGE_PATH,Storage,All,/shared/checkpoints,Shared path for training checkpoints,Yes,String,Valid Unix path,Public,AI Team,Training recovery,Fault tolerance,[DATE]
MONITORING_SYSTEM,Monitoring,All,Prometheus + Grafana,Primary monitoring platform,Yes,String,Valid monitoring stack,Public,Operations,GPU utilization tracking,AI-optimized dashboards,[DATE]
DCGM_EXPORTER_ENABLED,Monitoring,All,true,Enable NVIDIA DCGM metrics,Yes,Boolean,true|false,Public,Operations,GPU monitoring,Real-time GPU metrics,[DATE]
NVIDIA_SMI_EXPORTER_ENABLED,Monitoring,All,true,Enable nvidia-smi metrics export,Yes,Boolean,true|false,Public,Operations,Basic GPU monitoring,Legacy compatibility,[DATE]
GPU_UTILIZATION_ALERT_THRESHOLD,Monitoring,All,95,GPU utilization alert threshold %,Yes,Integer,80-99,Public,Operations,Resource optimization,High utilization alert,[DATE]
GPU_MEMORY_ALERT_THRESHOLD,Monitoring,All,90,GPU memory alert threshold %,Yes,Integer,80-95,Public,Operations,Memory management,Prevent OOM errors,[DATE]
TEMPERATURE_ALERT_THRESHOLD,Monitoring,All,83,GPU temperature alert threshold °C,Yes,Integer,80-85,Public,Operations,Thermal management,Prevent thermal throttling,[DATE]
POWER_CONSUMPTION_MONITORING,Monitoring,All,enabled,Monitor GPU power consumption,Yes,String,enabled|disabled,Public,Operations,Power management,Energy efficiency tracking,[DATE]
CONTAINER_RUNTIME,Container Platform,All,Docker,Container runtime platform,Yes,String,Docker|Podman|containerd,Public,Platform Team,NVIDIA container support,GPU container runtime,[DATE]
CONTAINER_REGISTRY,Container Platform,All,[internal-registry],Internal container registry,Yes,String,Valid registry URL,Confidential,Platform Team,Image management,Private model containers,[DATE]
LDAP_AUTHENTICATION,Security,All,enabled,LDAP user authentication,Yes,String,enabled|disabled,Confidential,Security Team,User management,Centralized authentication,[DATE]
LDAP_SERVER_URL,Security,All,[ldap-server],LDAP server endpoint,Yes,String,Valid LDAP URL,Secret,Security Team,Directory service,Active Directory integration,[DATE]
SSH_KEY_AUTHENTICATION,Security,All,required,SSH key authentication requirement,Yes,String,required|optional|disabled,Public,Security Team,Secure access,Disable password auth,[DATE]
FIREWALL_RULES,Security,All,restrictive,Network firewall configuration,Yes,String,restrictive|standard|permissive,Confidential,Security Team,Network security,Minimal attack surface,[DATE]
BACKUP_STRATEGY,Operations,All,incremental,Backup strategy for critical data,Yes,String,full|incremental|differential,Public,Operations,Data protection,Model and checkpoint backup,[DATE]
BACKUP_RETENTION_DAYS,Operations,All,90,Backup retention period in days,Yes,Integer,30-365,Public,Operations,Storage planning,Compliance requirements,[DATE]
MAINTENANCE_WINDOW,Operations,All,Sunday 02:00-06:00 UTC,Weekly maintenance window,Yes,String,Valid time range,Public,Operations,Minimal disruption,Low-usage period,[DATE]
NVIDIA_SUPPORT_CONTRACT,Support,All,Enterprise Support,NVIDIA support contract level,Yes,String,Valid contract type,Confidential,Support Team,Critical workloads,24x7 enterprise support,[DATE]
DGX_EXPERT_ASSISTANCE,Support,All,enabled,DGX Expert Assistance program,Yes,String,enabled|disabled,Public,Support Team,Performance optimization,Proactive support,[DATE]
DISASTER_RECOVERY_ENABLED,Operations,Production,true,Enable disaster recovery planning,Yes,Boolean,true|false,Public,DR Team,Business continuity,Multi-site resilience,[DATE]
MODEL_CHECKPOINTING_INTERVAL,AI Training,All,3600,Model checkpoint interval in seconds,Yes,Integer,300-7200,Public,AI Team,Training recovery,Balance overhead and recovery,[DATE]
DISTRIBUTED_TRAINING_BACKEND,AI Training,All,nccl,Backend for distributed training,Yes,String,nccl|mpi|gloo,Public,AI Team,Multi-node training,Optimal for NVIDIA GPUs,[DATE]
AUTO_SCALING_ENABLED,Resource Management,All,false,Enable automatic resource scaling,No,Boolean,true|false,Public,Operations,Workload management,Future capability,[DATE]
