Question ID,Category,Sub-Category,Question,Response Type,Response Options,Customer Response,Priority,Source,Notes
TECH-010,Technical Requirements,Data,What are your data retention requirements?,Text,,"",Medium,Data Assessment,Data lifecycle management
TECH-011,Technical Requirements,Availability,What are your uptime requirements?,Multiple Choice,"99%,99.5%,99.9%,99.95%,99.99%","",High,Technical Assessment,SLA requirements
TECH-012,Technical Requirements,Disaster Recovery,What are your disaster recovery requirements?,Text,,"",Medium,Technical Assessment,Business continuity needs
ORG-001,Organizational,Resources,Who will be the technical lead for this project?,Text,,"",High,Resource Planning,Technical ownership
ORG-002,Organizational,Resources,What internal resources are available for this project?,Text,,"",High,Resource Planning,Team availability
ORG-003,Organizational,Resources,What are the skill levels of your technical team?,Multiple Choice,"Beginner,Intermediate,Advanced,Expert","",Medium,Resource Planning,Training needs assessment
ORG-004,Organizational,Change Management,How do you typically handle technology changes?,Text,,"",Medium,Change Management,Change readiness
ORG-005,Organizational,Change Management,What training and support will be needed?,Text,,"",Medium,Change Management,Enablement requirements
ORG-006,Organizational,Governance,What approval processes are required?,Text,,"",Medium,Governance,Decision-making process
ORG-007,Organizational,Governance,Who has final approval authority?,Text,,"",High,Governance,Decision authority
ORG-008,Organizational,Communication,How do you prefer project communication?,Multiple Choice,"Email,Slack,Teams,Weekly meetings,Bi-weekly meetings,Monthly meetings,Other","",Low,Communication,Communication preferences
PROJ-010,Project Constraints,Timing,Are there any critical business dates or deadlines?,Text,,"",High,Planning,Timeline constraints
PROJ-011,Project Constraints,Timing,Are there any blackout periods when work cannot be done?,Text,,"",Medium,Planning,Implementation restrictions
PROJ-012,Project Constraints,Budget,Are there any budget constraints or considerations?,Text,,"",High,Planning,Financial constraints
PROJ-013,Project Constraints,Technical,Are there any technical constraints or limitations?,Text,,"",High,Technical Assessment,Technical limitations
PROJ-014,Project Constraints,Regulatory,Are there any regulatory or compliance constraints?,Text,,"",Medium,Compliance,Regulatory requirements
RISK-001,Risk Assessment,Implementation,What are your main concerns about this implementation?,Text,,"",High,Risk Assessment,Primary concerns
RISK-002,Risk Assessment,Implementation,What could cause this project to fail?,Text,,"",High,Risk Assessment,Failure modes
RISK-003,Risk Assessment,Business,What business risks are you trying to mitigate?,Text,,"",Medium,Risk Assessment,Business risk factors
RISK-004,Risk Assessment,Technical,What technical risks are you most concerned about?,Text,,"",Medium,Risk Assessment,Technical risk factors
RISK-005,Risk Assessment,Organizational,What organizational challenges do you anticipate?,Text,,"",Medium,Risk Assessment,Change management risks
FUTURE-001,Future State,Vision,What is your long-term vision for this solution?,Text,,"",Medium,Strategic Planning,Future roadmap
FUTURE-002,Future State,Growth,How do you expect your needs to grow over time?,Text,,"",Medium,Strategic Planning,Scalability planning
FUTURE-003,Future State,Integration,What future integrations might be needed?,Text,,"",Low,Strategic Planning,Future integration needs
FUTURE-004,Future State,Features,What additional features might you need in the future?,Text,,"",Low,Strategic Planning,Future feature requirements
VENDOR-001,Vendor Selection,Experience,What experience do you expect from the implementation partner?,Text,,"",High,Vendor Assessment,Partner requirements
VENDOR-002,Vendor Selection,Support,What ongoing support do you expect?,Text,,"",High,Vendor Assessment,Support expectations
VENDOR-003,Vendor Selection,References,Would you like to speak with references from similar projects?,Yes/No,"Yes,No","",Medium,Vendor Assessment,Reference validation
VENDOR-004,Vendor Selection,Methodology,Do you have preferences for implementation methodology?,Multiple Choice,"Agile,Waterfall,Hybrid,No preference","",Low,Vendor Assessment,Methodology preferences
